"Election","state_code","state_name","MP_Constituency","Constituency","MP_AC","State_AC","Polling_Station_No","Candidate_Name","Party_Name","No_of_Votes"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","181","RADHAKRISHNAN, C.P.","BJP","135"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","182","RADHAKRISHNAN, C.P.","BJP","332"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","183","RADHAKRISHNAN, C.P.","BJP","160"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","184","RADHAKRISHNAN, C.P.","BJP","269"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","185","RADHAKRISHNAN, C.P.","BJP","171"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","186","RADHAKRISHNAN, C.P.","BJP","206"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","187","RADHAKRISHNAN, C.P.","BJP","162"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","188","RADHAKRISHNAN, C.P.","BJP","136"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","189","RADHAKRISHNAN, C.P.","BJP","217"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","190","RADHAKRISHNAN, C.P.","BJP","165"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","191","RADHAKRISHNAN, C.P.","BJP","179"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","192","RADHAKRISHNAN, C.P.","BJP","360"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","193","RADHAKRISHNAN, C.P.","BJP","380"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","194","RADHAKRISHNAN, C.P.","BJP","32"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","195","RADHAKRISHNAN, C.P.","BJP","46"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","196","RADHAKRISHNAN, C.P.","BJP","58"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","197","RADHAKRISHNAN, C.P.","BJP","53"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","198","RADHAKRISHNAN, C.P.","BJP","39"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","199","RADHAKRISHNAN, C.P.","BJP","13"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","200","RADHAKRISHNAN, C.P.","BJP","81"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","201","RADHAKRISHNAN, C.P.","BJP","113"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","202","RADHAKRISHNAN, C.P.","BJP","209"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","203","RADHAKRISHNAN, C.P.","BJP","151"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","204","RADHAKRISHNAN, C.P.","BJP","253"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","205","RADHAKRISHNAN, C.P.","BJP","166"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","206","RADHAKRISHNAN, C.P.","BJP","224"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","207","RADHAKRISHNAN, C.P.","BJP","216"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","208","RADHAKRISHNAN, C.P.","BJP","160"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","209","RADHAKRISHNAN, C.P.","BJP","256"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","210","RADHAKRISHNAN, C.P.","BJP","254"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","211","RADHAKRISHNAN, C.P.","BJP","258"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","212","RADHAKRISHNAN, C.P.","BJP","225"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","213","RADHAKRISHNAN, C.P.","BJP","79"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","214","RADHAKRISHNAN, C.P.","BJP","231"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","215","RADHAKRISHNAN, C.P.","BJP","145"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","216","RADHAKRISHNAN, C.P.","BJP","104"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","217","RADHAKRISHNAN, C.P.","BJP","190"
